"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 27, 2022","0.8567","0.8859","0.9139","0.8338","259.21M","-3.30%"
"Feb 26, 2022","0.8859","0.8983","0.9298","0.8824","212.20M","-1.37%"
"Feb 25, 2022","0.8982","0.8530","0.9077","0.8250","333.92M","5.30%"
"Feb 24, 2022","0.8530","0.8642","0.8950","0.7478","766.01M","-1.28%"
"Feb 23, 2022","0.8641","0.8879","0.9569","0.8641","339.67M","-2.67%"
"Feb 22, 2022","0.8878","0.8579","0.8957","0.8148","372.58M","3.67%"
"Feb 21, 2022","0.8563","0.9282","0.9906","0.8522","379.68M","-7.74%"
"Feb 20, 2022","0.9282","0.9961","0.9978","0.9191","215.35M","-6.82%"
"Feb 19, 2022","0.9961","0.9952","1.0189","0.9742","134.17M","0.09%"
"Feb 18, 2022","0.9952","1.0206","1.0420","0.9850","189.39M","-2.51%"
"Feb 17, 2022","1.0209","1.0823","1.0930","1.0098","167.24M","-5.65%"
"Feb 16, 2022","1.0820","1.1063","1.1110","1.0669","154.74M","-2.20%"
"Feb 15, 2022","1.1063","1.0497","1.1146","1.0492","216.58M","5.39%"
"Feb 14, 2022","1.0497","1.0421","1.0541","1.0189","217.55M","0.68%"
"Feb 13, 2022","1.0427","1.0580","1.0747","1.0329","168.37M","-1.45%"
"Feb 12, 2022","1.0580","1.0799","1.0918","1.0300","228.46M","-2.03%"
"Feb 11, 2022","1.0799","1.1511","1.1629","1.0680","210.48M","-6.19%"
"Feb 10, 2022","1.1511","1.1940","1.2216","1.1450","278.45M","-3.54%"
"Feb 09, 2022","1.1933","1.1750","1.2134","1.1523","207.75M","1.56%"
"Feb 08, 2022","1.1750","1.1987","1.2613","1.1331","410.99M","-1.98%"
"Feb 07, 2022","1.1987","1.1422","1.2081","1.1259","388.21M","4.90%"
"Feb 06, 2022","1.1428","1.1249","1.1490","1.1008","162.27M","1.59%"
"Feb 05, 2022","1.1249","1.1381","1.1750","1.0977","241.31M","-1.16%"
"Feb 04, 2022","1.1381","1.0593","1.1381","1.0459","199.10M","7.46%"
"Feb 03, 2022","1.0591","1.0267","1.0596","1.0171","159.45M","3.12%"
"Feb 02, 2022","1.0271","1.0953","1.1012","1.0225","203.38M","-6.22%"
"Feb 01, 2022","1.0952","1.0519","1.0952","1.0352","199.78M","4.12%"
"Jan 31, 2022","1.0519","1.0365","1.0589","1.0088","156.00M","1.49%"
"Jan 30, 2022","1.0365","1.0595","1.0764","1.0247","124.08M","-2.18%"
"Jan 29, 2022","1.0596","1.0488","1.0828","1.0392","155.35M","1.03%"
"Jan 28, 2022","1.0488","1.0423","1.0583","1.0109","222.94M","0.63%"
"Jan 27, 2022","1.0423","1.0759","1.0795","1.0051","293.50M","-3.12%"
"Jan 26, 2022","1.0759","1.0419","1.1549","1.0225","491.58M","3.26%"
"Jan 25, 2022","1.0419","1.0662","1.0719","0.9936","340.53M","-2.25%"
"Jan 24, 2022","1.0659","1.1247","1.1247","0.9522","656.89M","-5.18%"
"Jan 23, 2022","1.1241","1.0708","1.1689","1.0518","424.31M","4.98%"
"Jan 22, 2022","1.0708","1.1201","1.1547","0.9235","817.44M","-4.41%"
"Jan 21, 2022","1.1202","1.2586","1.2802","1.1018","583.85M","-11.24%"
"Jan 20, 2022","1.2621","1.3367","1.4251","1.2518","409.96M","-5.59%"
"Jan 19, 2022","1.3368","1.4582","1.5323","1.3270","502.95M","-8.33%"
"Jan 18, 2022","1.4582","1.6016","1.6349","1.4139","651.50M","-8.95%"
"Jan 17, 2022","1.6015","1.4109","1.6034","1.3878","772.27M","13.51%"
"Jan 16, 2022","1.4109","1.2921","1.4211","1.2870","355.88M","9.19%"
"Jan 15, 2022","1.2922","1.2927","1.3177","1.2519","127.21M","-0.04%"
"Jan 14, 2022","1.2927","1.2318","1.3088","1.2226","228.54M","5.07%"
"Jan 13, 2022","1.2304","1.3075","1.3527","1.2287","272.21M","-5.77%"
"Jan 12, 2022","1.3057","1.1862","1.3068","1.1862","219.06M","10.07%"
"Jan 11, 2022","1.1862","1.1238","1.1949","1.1220","177.14M","5.53%"
"Jan 10, 2022","1.1240","1.1693","1.1802","1.0727","273.56M","-3.87%"
"Jan 09, 2022","1.1692","1.1812","1.2050","1.1480","166.87M","-1.01%"
"Jan 08, 2022","1.1812","1.2093","1.2530","1.1293","249.83M","-2.15%"
"Jan 07, 2022","1.2071","1.2808","1.2834","1.1910","307.47M","-5.76%"
"Jan 06, 2022","1.2808","1.2292","1.2965","1.1878","254.04M","4.20%"
"Jan 05, 2022","1.2292","1.3099","1.3520","1.1939","222.29M","-6.16%"
"Jan 04, 2022","1.3099","1.3191","1.3509","1.2960","137.65M","-0.69%"
"Jan 03, 2022","1.3191","1.3779","1.3779","1.3104","125.09M","-4.27%"
"Jan 02, 2022","1.3780","1.3789","1.3900","1.3430","115.33M","-0.07%"
"Jan 01, 2022","1.3789","1.3088","1.3789","1.3067","104.96M","5.34%"
"Dec 31, 2021","1.3090","1.3580","1.3819","1.2819","184.18M","-3.67%"
"Dec 30, 2021","1.3589","1.3307","1.3778","1.2992","195.11M","2.14%"
"Dec 29, 2021","1.3304","1.3998","1.4368","1.3247","229.60M","-4.85%"
"Dec 28, 2021","1.3982","1.5142","1.5381","1.3792","347.26M","-7.65%"
"Dec 27, 2021","1.5139","1.4543","1.5912","1.4510","265.20M","4.10%"
"Dec 26, 2021","1.4544","1.4529","1.4669","1.4089","160.28M","0.10%"
"Dec 25, 2021","1.4529","1.3913","1.4598","1.3833","138.23M","4.43%"
"Dec 24, 2021","1.3913","1.4733","1.4899","1.3829","193.99M","-5.55%"
"Dec 23, 2021","1.4731","1.3271","1.4898","1.3089","327.18M","11.00%"
"Dec 22, 2021","1.3271","1.2806","1.3667","1.2762","246.15M","3.64%"
"Dec 21, 2021","1.2805","1.2366","1.2889","1.2274","198.29M","3.59%"
"Dec 20, 2021","1.2361","1.2444","1.2600","1.2020","238.60M","-0.68%"
